tweet_id;username;text;date
1888805436171972741;y0urjk;@kimmyexp kak kim aku dapat lagi wkwkw  kopi jadul tempat aku 13k terus aku tambah bonbon 2 jadinya pas 15k😆😆😆  Jadi bayar 1k aja https://t.co/3UuhhmD31e;Mon Feb 10 04:21:22 +0000 2025
1888805415003328646;koomya_;pkokny tanggungan ak cm beliin mama netflix tiap bulan or traktir kopi/coklat kalo lg pengen, sisanya nikmatin aja sendiri kata beliau 🤣🫂;Mon Feb 10 04:21:17 +0000 2025
1888805273927856451;bolamp3cah;Waktu Indonesia bagian cari kopi;Mon Feb 10 04:20:44 +0000 2025
1888805208773521554;aeloveyuu;@pandxraa iya nih kak, salah bgt buka apk sabung pas lagi ketumpahan kopi ☺️🙏;Mon Feb 10 04:20:28 +0000 2025
1888805195968376923;coupsofuyu;@gyuverkyeom demi Allah sm bgt, udh ngambil, dibalikin, milih, ngambil yg td, balikin lg, ujung2nya klo ga kopi, air putih😭😭😭😭;Mon Feb 10 04:20:25 +0000 2025
1888805187156074562;ninaasdll_;"kata gua jangan minum kopi dipagi hari nanti tumpah😁  ob belike ""nambah kerjaan gua aja lu"" https://t.co/b9LxfrE0Fi";Mon Feb 10 04:20:23 +0000 2025
1888805039541727675;Kopi_laut;@JAstuti32696 @tempodotco @tukin_dosenASN Gaji guru SD harusnya 10 juta Minimal pendidikan S2;Mon Feb 10 04:19:48 +0000 2025
1888804974819488240;6_arung;@LeylaHana Napak tanah itu rajin turun ke bawah. Ngobrol sama orang-orang di warung kopi, warung nasi, atau balai desa. 😉;Mon Feb 10 04:19:32 +0000 2025
1888804856485609933;vanilathunders;@horanghaeyyo_ buat beli kopi sama makan gorengan kak (real kemarin ngetik laporan nyambi ini);Mon Feb 10 04:19:04 +0000 2025
1888804807336702055;bukan__siapa2;@Agungkenzo @kiswantofreedom Itu yg nikmat ketimbang kopi kafe;Mon Feb 10 04:18:53 +0000 2025
1888804724067229752;hanurahmantyo;@sheillaishary_ sisanke gawe kopi udud ro nggarap gawean nek ak mbak;Mon Feb 10 04:18:33 +0000 2025
1888804698259611928;Daeng_LeoMks;@tirta_cipeng Mabruk mabrur InsyaaAllah, aaamiinn.;Mon Feb 10 04:18:27 +0000 2025
1888804625207218371;hamadalocked;@Nuna_Mashiho congrats kak madddd, kebetulan bgt ngepasin aku lg denger trejo sambil kerja ngaduk kopi😭☝🏻 https://t.co/mDYnW573xU;Mon Feb 10 04:18:09 +0000 2025
1888804511340470504;Agungkenzo;@kiswantofreedom @bukan__siapa2 Yoi maklum bang kopi starling ..;Mon Feb 10 04:17:42 +0000 2025
1888804458840391728;DebbyMerpessa;@otwasik @tanyarlfes gak doyan kopi...;Mon Feb 10 04:17:29 +0000 2025
1888804453022863416;ConsinaOfficial;Camp di tengah padang luas, dikelilingi alam yang bikin adem jiwa. Tenda yang berdiri kokoh, siap melindungi dari panas dan gerimis! Tinggal selonjor, seruput kopi, nikmati angin gunung yang syahdu. 🍃✨ https://t.co/asSyUDvxMS;Mon Feb 10 04:17:28 +0000 2025
1888804415282589877;blushsless;masi galau mau americano atau kopi susu;Mon Feb 10 04:17:19 +0000 2025
1888804373230506363;assvocados;aku butuh kopi😭😭😭;Mon Feb 10 04:17:09 +0000 2025
1888803994895802545;dpika95;Darii kemarin gw buka tutup aplikasi kopi jago. Mendung2 gini tumben banget gak ada dri kemarin 🥲;Mon Feb 10 04:15:39 +0000 2025
1888803912519717176;fuckatharimau;akan kulalui penindasan ini dengan gaji mepet umr dan segelas kopi jago.;Mon Feb 10 04:15:19 +0000 2025
1888803559707476307;pragolakopi;@adtn_ @thoofailii @iPaizz BU RT;Mon Feb 10 04:13:55 +0000 2025
